#z	phi(z)	pi(z)	sigma(z)	rho(z)	chi(z)	xi(z)
0	0	0.84396	0	-1.337478598	-0.09105233335	0.273157
0.2	0.1069469333	0.3249498003	-0.235184887	-1.042526098	-0.05575920402	0.11112565
0.4	0.1510691451	0.1436776378	-0.4242653124	-0.8604877568	-0.03996458764	0.05542619946
0.6	0.1709920243	0.06525349569	-0.5830115919	-0.7338254559	-0.03152764135	0.03197967027
0.8	0.1796898284	0.02576711659	-0.719963873	-0.6400140289	-0.02638550192	0.02070217536
1	0.1824114538	0.00334845777	-0.8404335065	-0.56759673	-0.02290085673	0.01473208785
1.2	0.181576806	-0.01071229502	-0.9479826596	-0.5099595337	-0.02032429701	0.01133257633
1.4	0.1784214419	-0.02028851904	-1.045124683	-0.4629778742	-0.01827930997	0.009279863534
1.6	0.173633657	-0.0272527765	-1.133701291	-0.4239359209	-0.016563017	0.007975965421
1.8	0.1676291995	-0.03257009753	-1.215102916	-0.3909695048	-0.01506020855	0.007107157914
2	0.1606801338	-0.03676238611	-1.290405159	-0.3627557431	-0.01370292764	0.006499038303
2.2	0.1529794912	-0.04012200289	-1.360457195	-0.3383296996	-0.0124500782	0.006049919396
2.4	0.1446755091	-0.04281671331	-1.425941161	-0.316971117	-0.01127651733	0.00569817597
2.6	0.1358905187	-0.04494439569	-1.487413312	-0.2981316648	-0.01016691316	0.005405297919
2.8	0.1267316321	-0.04656304528	-1.545333262	-0.2813867411	-0.009112133114	0.005146675279
3	0.1172968441	-0.04770803466	-1.600085246	-0.2664026356	-0.008107033932	0.004906370097
3.2	0.1076784372	-0.04840245615	-1.651993877	-0.2529136177	-0.007149061365	0.004674038184
3.4	0.09796474528	-0.04866352878	-1.701336011	-0.2407055983	-0.006237333984	0.004443053969
3.6	0.08824088959	-0.04850665611	-1.748349828	-0.229604244	-0.00537202594	0.004209331205
3.8	0.07858886936	-0.04794799677	-1.793241872	-0.2194661912	-0.004553940877	0.003970559995
4	0.06908724604	-0.04700603475	-1.836192551	-0.2101724731	-0.003784210132	0.003725698464
4.2	0.05981056792	-0.04570245096	-1.87736048	-0.2016234976	-0.003064076868	0.003474623528
4.4	0.05082869388	-0.04406249626	-1.916885965	-0.1937351649	-0.002394739163	0.00321788339
4.6	0.04220607771	-0.04211497653	-1.954893794	-0.1864358866	-0.00177723291	0.002956517468
4.8	0.03400107118	-0.03989196332	-1.991495479	-0.1796642399	-0.001212347845	0.002691921216
5	0.02626533417	-0.03742830753	-2.026791108	-0.1733670987	-0.0007005699472	0.00242574109
5.2	0.01904332512	-0.03476102138	-2.060870854	-0.1674981825	-0.0002420366211	0.00215978977
5.4	0.01237193143	-0.03192859405	-2.093816214	-0.1620168992	0.000163488814	0.001895977523
5.6	0.006280274393	-0.02897027492	-2.125701057	-0.1568874104	0.0005166274689	0.001636254369
5.8	0.0007895905374	-0.02592538424	-2.156592502	-0.1520779065	0.0008183924959	0.0013825599
6	-0.004086695534	-0.02283266016	-2.186551655	-0.1475600185	0.001070179528	0.001136781075
6.2	-0.008342796181	-0.01972967406	-2.215634252	-0.1433083463	0.001273752976	0.0009007151567
6.4	-0.01198028047	-0.01665232205	-2.243891216	-0.1393000823	0.001431225273	0.0006760378909
6.6	-0.01500769205	-0.01363439652	-2.271369139	-0.1355147043	0.001545029505	0.0004642765733
6.8	-0.01744009454	-0.01070723519	-2.29811072	-0.1319337222	0.001617887622	0.0002667874705
7	-0.01929855082	-0.007899443443	-2.32415514	-0.1285404685	0.001652774214	8.473770131e-05
7.2	-0.02060955042	-0.005236681526	-2.349538417	-0.1253199179	0.00165287693	-8.090867217e-05
7.4	-0.02140440383	-0.002741508846	-2.374293715	-0.1222585325	0.001621554872	-0.0002294004256
7.6	-0.02171862122	-0.0004332748582	-2.398451626	-0.1193441231	0.00156229615	-0.0003602051522
7.8	-0.02159125552	0.00167194829	-2.422040429	-0.1165657248	0.001478673201	-0.0004730112398
8	-0.02106423689	0.003561396136	-2.445086324	-0.1139134811	0.001374298347	-0.0005677262232
8.2	-0.02018171872	0.005225610833	-2.46761364	-0.1113785364	0.001252781002	-0.0006444719397
8.4	-0.01898942482	0.00665841174	-2.489645026	-0.1089529346	0.001117685876	-0.0007035767116
8.6	-0.0175339879	0.007856832261	-2.511201625	-0.1066295237	0.0009724919311	-0.0007455643458
8.8	-0.01586231428	0.008821026408	-2.532303218	-0.1044018644	0.0008205545917	-0.0007711407188
9	-0.01402098552	0.009554148977	-2.552968365	-0.1022641457	0.0006650716694	-0.0007811786322
9.2	-0.0120556646	0.01006220068	-2.57321452	-0.1002111054	0.0005090511056	-0.0007767003622
9.4	-0.01001053911	0.0103538395	-2.593058133	-0.09823795725	0.0003552826836	-0.0007588585541
9.6	-0.007927819367	0.01044016646	-2.612514737	-0.09634032424	0.0002063144479	-0.0007289163545
9.8	-0.005847275341	0.01033448426	-2.631599028	-0.09451418006	6.443266631e-05	-0.0006882266427
10	-0.003805814602	0.01005202456	-2.650324926	-0.09275579709	-6.835436019e-05	-0.0006382102199
10.2	-0.00183712798	0.009609656971	-2.668705632	-0.0910617022	-0.0001903274707	-0.0005803340298
10.4	2.860153917e-05	0.009025589572	-2.686753675	-0.08942864036	-0.0003000635504	-0.0005160899081
10.6	0.00176494227	0.008319049645	-2.704480952	-0.08785354496	-0.000396438696	-0.0004469729826
